,Lab,Floor,Server,Hood,Sash,Occupancy,Internal Temp,External Temp,FloorNum,Energy Occupied,Energy Unoccupied,Sash Open Time Occupied,Sash Open Time Unoccupied
10,221B,2,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_221b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_221b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_221b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_221b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_221B.Hood_1.energy.occ,Biotech.nanFloor.Lab_221B.Hood_1.energy.unocc,Biotech.nanFloor.Lab_221B.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_221B.Hood_1.sashOpenTime.unocc
11,227,2,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_227_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_227_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_227_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_227_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_227.Hood_1.energy.occ,Biotech.nanFloor.Lab_227.Hood_1.energy.unocc,Biotech.nanFloor.Lab_227.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_227.Hood_1.sashOpenTime.unocc
12,227B,2,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_227b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_227b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_227b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_227b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_227B.Hood_1.energy.occ,Biotech.nanFloor.Lab_227B.Hood_1.energy.unocc,Biotech.nanFloor.Lab_227B.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_227B.Hood_1.sashOpenTime.unocc
13,233,2,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_233.Hood_1.energy.occ,Biotech.nanFloor.Lab_233.Hood_1.energy.unocc,Biotech.nanFloor.Lab_233.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_233.Hood_1.sashOpenTime.unocc
14,233B,2,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_233B.Hood_1.energy.occ,Biotech.nanFloor.Lab_233B.Hood_1.energy.unocc,Biotech.nanFloor.Lab_233B.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_233B.Hood_1.sashOpenTime.unocc
15,241,2,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_241.Hood_1.energy.occ,Biotech.nanFloor.Lab_241.Hood_1.energy.unocc,Biotech.nanFloor.Lab_241.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_241.Hood_1.sashOpenTime.unocc
16,241B,2,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_241B.Hood_1.energy.occ,Biotech.nanFloor.Lab_241B.Hood_1.energy.unocc,Biotech.nanFloor.Lab_241B.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_241B.Hood_1.sashOpenTime.unocc
17,253,2,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_253.Hood_1.energy.occ,Biotech.nanFloor.Lab_253.Hood_1.energy.unocc,Biotech.nanFloor.Lab_253.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_253.Hood_1.sashOpenTime.unocc
18,253B,2,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_253B.Hood_1.energy.occ,Biotech.nanFloor.Lab_253B.Hood_1.energy.unocc,Biotech.nanFloor.Lab_253B.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_253B.Hood_1.sashOpenTime.unocc
19,257,2,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_257.Hood_1.energy.occ,Biotech.nanFloor.Lab_257.Hood_1.energy.unocc,Biotech.nanFloor.Lab_257.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_257.Hood_1.sashOpenTime.unocc
20,257B,2,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_257B.Hood_1.energy.occ,Biotech.nanFloor.Lab_257B.Hood_1.energy.unocc,Biotech.nanFloor.Lab_257B.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_257B.Hood_1.sashOpenTime.unocc
21,260,2,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_260.Hood_1.energy.occ,Biotech.nanFloor.Lab_260.Hood_1.energy.unocc,Biotech.nanFloor.Lab_260.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_260.Hood_1.sashOpenTime.unocc
22,260B,2,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_260B.Hood_1.energy.occ,Biotech.nanFloor.Lab_260B.Hood_1.energy.unocc,Biotech.nanFloor.Lab_260B.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_260B.Hood_1.sashOpenTime.unocc
23,267,2,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_267.Hood_1.energy.occ,Biotech.nanFloor.Lab_267.Hood_1.energy.unocc,Biotech.nanFloor.Lab_267.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_267.Hood_1.sashOpenTime.unocc
24,267B,2,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_267B.Hood_1.energy.occ,Biotech.nanFloor.Lab_267B.Hood_1.energy.unocc,Biotech.nanFloor.Lab_267B.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_267B.Hood_1.sashOpenTime.unocc
25,303,3,biotech_main,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_303_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_303_control/hood_sash,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_303_control/occ,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_303_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_303.Hood_1.energy.occ,Biotech.nanFloor.Lab_303.Hood_1.energy.unocc,Biotech.nanFloor.Lab_303.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_303.Hood_1.sashOpenTime.unocc
26,303B,3,biotech_main,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_303b_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_303b_control/hood_sash,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_303b_control/occ,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_303b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_303B.Hood_1.energy.occ,Biotech.nanFloor.Lab_303B.Hood_1.energy.unocc,Biotech.nanFloor.Lab_303B.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_303B.Hood_1.sashOpenTime.unocc
27,309,3,biotech_main,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_309_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_309_control/hood_sash,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_309_control/occ,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_309_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_309.Hood_1.energy.occ,Biotech.nanFloor.Lab_309.Hood_1.energy.unocc,Biotech.nanFloor.Lab_309.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_309.Hood_1.sashOpenTime.unocc
28,309B,3,biotech_main,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_309b_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_309b_control/hood_sash,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_309b_control/occ,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_309b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_309B.Hood_1.energy.occ,Biotech.nanFloor.Lab_309B.Hood_1.energy.unocc,Biotech.nanFloor.Lab_309B.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_309B.Hood_1.sashOpenTime.unocc
29,317,3,biotech_main,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_317_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_317_control/hood_sash,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_317_control/occ,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_317_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_317.Hood_1.energy.occ,Biotech.nanFloor.Lab_317.Hood_1.energy.unocc,Biotech.nanFloor.Lab_317.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_317.Hood_1.sashOpenTime.unocc
30,317B,3,biotech_main,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_317b_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_317b_control/hood_sash,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_317b_control/occ,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_317b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_317B.Hood_1.energy.occ,Biotech.nanFloor.Lab_317B.Hood_1.energy.unocc,Biotech.nanFloor.Lab_317B.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_317B.Hood_1.sashOpenTime.unocc
31,318,3,biotech_main,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_318_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_318_control/hood_sash,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_318_control/occ,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_318_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_318.Hood_1.energy.occ,Biotech.nanFloor.Lab_318.Hood_1.energy.unocc,Biotech.nanFloor.Lab_318.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_318.Hood_1.sashOpenTime.unocc
32,321,3,biotech_main,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_321_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_321_control/hood_sash,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_321_control/occ,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_321_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_321.Hood_1.energy.occ,Biotech.nanFloor.Lab_321.Hood_1.energy.unocc,Biotech.nanFloor.Lab_321.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_321.Hood_1.sashOpenTime.unocc
33,321B,3,biotech_main,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_321b_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_321b_control/hood_sash,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_321b_control/occ,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_321b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_321B.Hood_1.energy.occ,Biotech.nanFloor.Lab_321B.Hood_1.energy.unocc,Biotech.nanFloor.Lab_321B.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_321B.Hood_1.sashOpenTime.unocc
34,327,3,biotech_main,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_327_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_327_control/hood_sash,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_327_control/occ,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_327_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_327.Hood_1.energy.occ,Biotech.nanFloor.Lab_327.Hood_1.energy.unocc,Biotech.nanFloor.Lab_327.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_327.Hood_1.sashOpenTime.unocc
